x,t
235,0.3795
225,0.37925000000000003
215,0.3785
205,0.37825000000000003
195,0.37875000000000003
185,0.37875000000000003
175,0.3785
165,0.37825000000000003
155,0.378
145,0.37875000000000003
135,0.37875000000000003
125,0.37625000000000003
115,0.379
105,0.3795
95,0.37975000000000003
85,0.37975000000000003
75,0.37925000000000003
65,0.37925000000000003
55,0.3795
45,0.38
35,0.38075000000000003
25,0.38275000000000003
15,0.38225000000000003
5,0.38325000000000004
-5,0.3835
-15,0.38325000000000004
-25,0.3845
-35,0.3845
-45,0.38525
-55,0.38575
-65,0.38625
-75,0.38775
-85,0.388
-95,0.389
-105,0.38925
-115,0.391
-125,0.393
-135,0.39275
-145,0.39275
-155,0.3945
-165,0.3945
-175,0.39525
-185,0.39625
-195,0.39625
-205,0.39775
-215,0.3995
-225,0.4
-235,0.40125
